"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs","degree_0.5","degree_1.0","degree_1.5","degree_2.0","degree_3.0","degree_4.0","degree_6.0","numNeurites_0.5","numNeurites_1.0","numNeurites_1.5","numNeurites_2.0","numNeurites_3.0","numNeurites_4.0","numNeurites_6.0","totCPs_0.5","totCPs_1.0","totCPs_1.5","totCPs_2.0","totCPs_3.0","totCPs_4.0","totCPs_6.0","avgAbsRelTurnAngle_0.5","avgAbsRelTurnAngle_1.0","avgAbsRelTurnAngle_1.5","avgAbsRelTurnAngle_2.0","avgAbsRelTurnAngle_3.0","avgAbsRelTurnAngle_4.0","avgAbsRelTurnAngle_6.0","avgSegLen_0.5","avgSegLen_1.0","avgSegLen_1.5","avgSegLen_2.0","avgSegLen_3.0","avgSegLen_4.0","avgSegLen_6.0","totLen_0.5","totLen_1.0","totLen_1.5","totLen_2.0","totLen_3.0","totLen_4.0","totLen_6.0","avgTort_0.5","avgTort_1.0","avgTort_1.5","avgTort_2.0","avgTort_3.0","avgTort_4.0","avgTort_6.0"
"asl-rhin-CD2-20_0002_tracings.csv",0.5,"C","D",2,10000,"2",-11.9821088475939,11.9821088475939,9.8314972952169,19.6629945904338,1,1,1.0498663867987,1,1,1,1,4,5,4,4,,1,1,4,4,4,4,,1,3,5,3,1,8,,11.9821088475939,30.3594536863052,26.4067458972651,13.4944947785481,16.927513064147,22.0430071322567,,9.8314972952169,5.65011525854047,12.1514963133321,13.4209164148473,6.68338075730468,9.03470716906161,,19.6629945904338,22.6004610341619,72.9089778799929,80.5254984890837,13.3667615146094,99.3817788596776,,1.0498663867987,1.05142156771492,1.02632055947149,1.01324660517216,1.02935021802196,1.04470141344279,
"asl-rhin-CD2-20_0002_tracings.csv",0.5,"C","D",2,10000,"3",-8.74616226255521,8.74616226255521,6.83449866190359,13.6689973238072,1,1,1.00330846246559,1,1,1,2,1,2,15,1,,1,2,1,2,12,1,,1,1,3,4,26,1,,8.74616226255521,30.2803402825068,29.3271509490843,22.1158324382401,21.3604029639665,27.6237849002808,,6.83449866190359,7.80992746539585,10.1781904105375,11.3473127578962,9.49425639923821,15.3541527818754,,13.6689973238072,15.6198549307917,40.7127616421499,68.0838765473775,341.793230372575,30.7083055637508,,1.00330846246559,1.04641351326078,1.09815750238975,1.05072368497293,1.04636896629977,1.04532122845379,
"asl-rhin-CD2-20_0003_tracings.csv",0.5,"C","D",2,10000,"1",-4.79203404693194,4.79203404693194,10.6860568871489,21.3721137742979,3,3,1.02555195121653,1,1,3,1,1,3,5,6,,3,1,1,3,4,5,,1,1,1,9,6,12,,4.79203404693194,12.8999635785351,3.92929611517939,28.5880959728244,19.5005334181824,19.1688513682422,,10.6860568871489,10.7843140830737,11.7101942792714,8.85105791347454,8.71098393078432,10.8009755041897,,21.3721137742979,21.5686281661474,23.4203885585427,106.212694961694,78.398855377059,172.815608067036,,1.02555195121653,1.01395170201864,1.01653790771137,1.12031382496233,1.02680390644378,1.04276336726598,
"asl-rhin-CD2-20_0003_tracings.csv",0.5,"C","D",2,10000,"2",-21.3518524954863,21.3518524954863,8.69242741777376,17.3848548355475,4,4,1.05037355796952,1,1,4,1,1,4,4,4,,4,1,1,4,4,4,,1,1,4,7,11,10,,21.3518524954863,3.23710678806874,26.6609828529374,18.220508573559,25.0738196729988,26.8226949185209,,8.69242741777376,15.1860198812125,9.33069268225972,10.9407388686241,10.5625666352759,8.85911674617211,,17.3848548355475,30.3720397624251,46.6534634112986,109.407388686241,147.875932893863,106.309400954065,,1.05037355796952,1.00474760721016,1.12095995807174,1.01960947909211,1.04719855373024,1.04165588810803,
"asl-rhin-CD2-40_0000_tracings.csv",0.5,"C","D",2,10000,"1",-0.47053060563954,22.0802464514202,4.10656027597024,28.7459219317917,2,2,1.06394288231907,5,2.5,2,2,1,3,6,1,,2,1,1,3,6,1,,5,4,2,7,23,2,,22.0802464514202,19.9186663984475,24.5604660488975,20.0223567218943,26.7885737825968,18.1224985802593,,4.10656027597024,13.3756189913097,12.342873005865,9.75410143473748,11.4847252376011,6.84672277605422,,28.7459219317917,80.2537139478583,37.0286190175949,97.5410143473747,298.60285617763,20.5401683281627,,1.06394288231907,1.03022383193319,1.04897259358372,1.02832726767383,1.07270783916747,1.02865796520068,
"asl-rhin-CD2-40_0000_tracings.csv",0.5,"C","D",2,10000,"2",-11.6672836978484,21.1087710806335,4.38295056556437,26.2977033933862,2,2,1.02063287143098,4,2,2,1,3,1,6,4,,2,1,3,1,5,4,,4,1,3,4,13,11,,21.1087710806335,15.1371656437249,11.5770568009961,30.0581485723629,20.2814605742629,32.2459728325892,,4.38295056556437,7.57940745124199,8.57791237746278,9.56957170373138,8.84169889232841,13.5399727418107,,26.2977033933862,15.158814902484,42.8895618873138,47.8478585186569,159.150580061911,176.019645643539,,1.02063287143098,1.01428722235014,1.02649527657497,1.10943896359024,1.03279966580093,1.06010720216313,
"asl-rhin-CD2-40_0001_tracings.csv",0.5,"C","D",2,10000,"1",8.62072969947,21.7547520058663,5.18215188430412,15.5464556529124,1,1,1.03192989515109,2,2,1,1,5,2,3,3,,1,1,5,2,3,3,,2,2,6,3,8,10,,21.7547520058663,11.3786394995874,19.2623102017071,19.11178351688,31.292729113773,20.6589867526986,,5.18215188430412,11.9454796578325,8.45397072282158,8.70938755123536,8.97720154117735,10.3708918695769,,15.5464556529124,35.8364389734975,76.0857365053943,43.5469377561768,80.7948138705961,134.821594304499,,1.03192989515109,1.03556029920188,1.02855046601339,1.01345135074355,1.04952119288463,1.03495998534276,
"asl-rhin-CD2-40_0001_tracings.csv",0.5,"C","D",2,10000,"2",2.39287698575082,28.0077340357333,4.87943884909764,43.9149496418788,4,4,1.07686190483883,6,2,4,3,1,1,2,5,,4,3,1,1,2,4,,6,2,1,2,6,20,,28.0077340357333,19.8002978416507,31.4462359022683,9.89606532558654,15.5684934646113,21.9761599662924,,4.87943884909764,8.02957871588115,4.80733254291183,10.5906938418869,9.71884640170559,9.2535787455614,,43.9149496418788,32.1183148635245,9.61466508582367,31.7720815256606,68.0319248119391,231.339468639035,,1.07686190483883,1.02093644806035,1.04333389650954,1.00826572365078,1.02642300710312,1.05555550621665,
"asl-rhin-CD2-40_0002_tracings.csv",0.5,"C","D",2,10000,"1",-12.7829679916454,25.3419236969659,5.05129259114442,20.2051703645777,1,1,1.10523155652216,3,3,1,2,1,4,5,1,,1,2,1,4,3,1,,3,9,3,5,9,7,,25.3419236969659,25.0192735714859,13.6645256786046,15.1518342060733,16.1550582505537,28.0315750005848,,5.05129259114442,9.35191151234829,4.90737905135552,8.10849713540316,8.34427724723883,9.46651309118467,,20.2051703645777,93.5191151234829,19.6295162054221,64.8679770832252,100.131326966866,75.7321047294774,,1.10523155652216,1.04081921059593,1.04172193566713,1.01528785703072,1.03620337063,1.07796927005386,
"asl-rhin-CD2-40_0003_tracings.csv",0.5,"C","D",2,10000,"1",9.1966092368864,9.1966092368864,7.23177249138909,21.6953174741673,1,1,1.04420614590726,2,2,1,2,1,1,2,5,,1,2,1,1,2,5,,2,6,3,1,1,4,,9.1966092368864,25.0631424839106,21.1656706647241,5.56633214269098,32.2450259148209,31.1941583863333,,7.23177249138909,8.44568216009572,4.7897246909207,7.97469794168807,6.27413749725994,8.09165441683999,,21.6953174741673,67.5654572807657,19.1588987636828,15.9493958833761,12.5482749945199,56.6415809178799,,1.04420614590726,1.08362409596263,1.05067319968905,1.00597581275159,1.04863080794545,1.04375797287956,
