"imageCSV_only.i.","div","plateID","rowID","colID","density","uniqueCells.k.","avgRelTurnAngle","avgAbsRelTurnAngle","avgSegLen","totLen","degree","numNeurites","avgTort","totCPs","avgCPs"
"asl-rhin-CB2-20_0008_tracings.csv",1.5,"C","B",2,10000,"1",-11.5770568009961,11.5770568009961,8.57791237746278,42.8895618873138,3,3,1.02649527657497,3,1.5
"asl-rhin-CB2-20_0008_tracings.csv",1.5,"C","B",2,10000,"2",-5.20069263705233,19.2623102017071,8.45397072282158,76.0857365053943,5,5,1.02855046601339,6,2
"asl-rhin-CB2-40_0000_tracings.csv",1.5,"C","B",2,10000,"2",-31.4462359022683,31.4462359022683,4.80733254291183,9.61466508582367,1,1,1.04333389650954,1,1
"asl-rhin-CB2-40_0000_tracings.csv",1.5,"C","B",2,10000,"3",-0.77280034701043,13.6645256786046,4.90737905135552,19.6295162054221,1,1,1.04172193566713,3,3
"asl-rhin-CB2-40_0000_tracings.csv",1.5,"C","B",2,10000,"1",4.49857776026528,21.1656706647241,4.7897246909207,19.1588987636828,1,1,1.05067319968905,3,3
"asl-rhin-CB2-40_0001_tracings.csv",1.5,"C","B",2,10000,"3",-4.88206771421942,23.3242461612199,5.28174285994796,132.043571498699,6,4,1.05079628857687,19,3.16666666666667
"asl-rhin-CB2-40_0001_tracings.csv",1.5,"C","B",2,10000,"1",-5.42961924449995,20.8642695294473,5.40578063938448,64.8693676726136,4,3,1.05250727824376,8,2
"asl-rhin-CB2-40_0001_tracings.csv",1.5,"C","B",2,10000,"2",13.1707503651561,13.1707503651561,4.95647959079507,9.91295918159015,1,1,1.03105098079504,1,1
"asl-rhin-CB2-40_0002_tracings.csv",1.5,"C","B",2,10000,"1",-0.00266761414822536,21.3098516279711,3.6868480686595,22.121088411957,3,3,1.0249765684048,4,2
"asl-rhin-CB2-40_0003_tracings.csv",1.5,"C","B",2,10000,"1",-0.765921918055745,17.3330029302086,5.57013075062534,50.131176755628,3,2,1.04320571737566,7,3.5
"asl-rhin-CB2-40_0003_tracings.csv",1.5,"C","B",2,10000,"2",5.95628527541871,23.6395185758008,7.15507998329909,50.0855598830937,2,2,1.03941023148829,5,2.5
"asl-rhin-CB2-40_0003_tracings.csv",1.5,"C","B",2,10000,"3",11.6703473434995,28.5984915524877,4.56372747707943,22.8186373853972,1,1,1.13232383846443,4,4
"asl-rhin-CB2-40_0003_tracings.csv",1.5,"C","B",2,10000,"4",1.34474588604875,14.9132720776587,6.21851806958543,55.9666626262689,1,1,1.0256154772875,8,8
"asl-rhin-CB2-40_0005_tracings.csv",1.5,"C","B",2,10000,"1",-3.45162847788556,23.0618791286836,5.60090540070837,50.4081486063754,1,1,1.10473916118798,8,8
"asl-rhin-CB2-40_0005_tracings.csv",1.5,"C","B",2,10000,"2",-11.9893945170969,20.1947383953822,5.68638590290432,22.7455436116172,1,1,1.03246128467543,3,3
"asl-rhin-CB2-40_0005_tracings.csv",1.5,"C","B",2,10000,"4",0.4695954728678,11.779527946888,5.86626751652816,17.5988025495845,1,1,1.0029486889432,2,2
"asl-rhin-CB2-40_0005_tracings.csv",1.5,"C","B",2,10000,"3",-8.85532665321523,8.85532665321523,4.50144652326486,9.00289304652972,1,1,1.00562795682992,1,1
"asl-rhin-CB2-40_0006_tracings.csv",1.5,"C","B",2,10000,"1",-4.64505715573378,22.0315639337907,4.95844461635455,233.046896968664,14,13,1.03889185733369,34,2.61538461538462
"asl-rhin-CD2-20_0000_tracings.csv",1.5,"C","D",2,10000,"1",12.7429965413463,12.7429965413463,8.76196008894885,17.5239201778977,1,1,1.01421170823302,1,1
"asl-rhin-CD2-20_0001_tracings.csv",1.5,"C","D",2,10000,"2",3.25294251682043,3.25294251682043,14.8285682983964,29.6571365967927,1,1,1.0172745407607,1,1
"asl-rhin-CD2-20_0001_tracings.csv",1.5,"C","D",2,10000,"4",5.7405024333634,46.6453733833038,9.59858287422142,38.3943314968857,1,1,1.1647376560946,3,3
"asl-rhin-CD2-20_0001_tracings.csv",1.5,"C","D",2,10000,"3",16.8151999911593,16.8151999911593,8.95570065276626,35.822802611065,2,2,1.03245618856548,2,1
"asl-rhin-CD2-20_0001_tracings.csv",1.5,"C","D",2,10000,"5",11.2300225086599,30.2139415309728,6.30218213983955,25.2087285593582,1,1,1.09661127680824,3,3
"asl-rhin-CD2-20_0002_tracings.csv",1.5,"C","D",2,10000,"2",-0.681862558864402,17.6635141102782,10.5592469563455,73.9147286944184,3,3,1.04306394242951,4,1.33333333333333
"asl-rhin-CD2-20_0002_tracings.csv",1.5,"C","D",2,10000,"1",-22.7991837936487,22.7991837936487,7.1448358620863,21.4345075862589,3,3,1.03571663003998,2,2
"asl-rhin-CD2-20_0003_tracings.csv",1.5,"C","D",2,10000,"1",2.75971597978787,22.9969473532754,10.893289960478,152.506059446692,2,1,1.07280377621355,12,6
"asl-rhin-CD2-20_0003_tracings.csv",1.5,"C","D",2,10000,"2",28.1181598483365,28.1181598483365,7.60997299628167,30.4398919851266,4,4,1.02683251926403,2,1
"asl-rhin-CD2-20_0004_tracings.csv",1.5,"C","D",2,10000,"2",-11.9184174419161,30.6619348720698,7.68891827040141,107.64485578562,3,3,1.11317510395736,11,3.66666666666667
"asl-rhin-CD2-20_0004_tracings.csv",1.5,"C","D",2,10000,"3",1.1230242336431,30.3037590456033,7.13130373112313,57.0504298489849,5,4,1.04083003152262,4,1
